City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Souillac,-20.52,57.52,73.4,64,40,17.22
Labuan,5.28,115.24,87.4,66,75,3.36
Ishigaki,24.34,124.16,77.0,100,75,17.22
Villaviciosa,43.48,-5.44,56.73,82,100,4.0
Araouane,18.9,-3.53,96.94,24,7,6.91
Lockhart,28.62,-81.44,75.56,100,100,5.19
Fort Frances,48.6,-93.4,57.2,93,90,11.41
La Esperanza,14.87,-91.57,51.85,97,100,1.14
Hakkâri Province,37.58,44.17,71.6,28,0,8.05
Morondava,-20.28,44.28,74.95,69,100,5.3
Katobu,-4.94,122.53,74.34,95,100,4.34
Zhigansk,66.77,123.37,69.53,34,67,7.76
Mocuba,-16.84,36.99,77.09,58,19,7.67
Bolobo,-2.17,16.23,79.88,72,99,4.43
Melfi,41.0,15.65,72.91,49,20,6.93
Yabrūd,33.97,36.66,86.86,13,0,11.41
Moses Lake,47.13,-119.28,55.67,58,1,8.05
Arroyo de la Encomienda,41.61,-4.8,54.36,62,40,9.17
Kieta,-6.22,155.63,82.04,75,88,3.33
Burns Lake,54.23,-125.75,36.05,83,0,2.71
Banjar,-8.19,114.97,82.4,83,40,13.87
Qaanaaq,77.48,-69.36,28.2,85,0,5.14
La Libertad,-2.23,-80.9,68.79,88,95,7.43
Tiksi,71.69,128.87,34.34,90,77,11.45
Trat,12.5,102.5,86.0,74,40,5.82
Vitim,59.45,112.56,61.88,68,48,9.8
Andradas,-22.07,-46.57,59.86,87,2,1.88
Santa Maria,-29.68,-53.81,51.01,91,0,2.28
Gunjur,13.2,-16.73,80.6,78,75,10.29
Tamworth,52.63,-1.7,51.66,71,75,3.36
Xam Nua,20.42,104.04,90.1,42,46,5.73
Maniitsoq,65.42,-52.9,37.13,94,100,6.31
Union,40.63,-74.27,56.52,62,1,6.29
Zhezkazgan,47.8,67.71,80.6,21,75,15.66
La Ronge,55.1,-105.28,50.0,93,90,6.93
